facility_id,count_of_facility_mort_measures,count_of_mort_measures_better,count_of_mort_measures_no_different,count_of_mort_measures_worse,count_of_facility_safety_measures,count_of_safety_measures_better,count_of_safety_measures_no_different,count_of_safety_measures_worse,count_of_facility_readm_measures,count_of_readm_measures_better,count_of_readm_measures_no_different,count_of_readm_measures_worse,count_of_facility_pt_exp_measures,count_of_facility_te_measures
110023,6.0,0.0,6.0,0.0,6.0,1.0,3.0,2.0,8.0,0.0,8.0,0.0,8.0,10.0
110050,3.0,0.0,3.0,0.0,,,,,5.0,1.0,4.0,0.0,,8.0
110168,7.0,2.0,5.0,0.0,7.0,1.0,6.0,0.0,9.0,0.0,9.0,0.0,8.0,9.0
110071,1.0,0.0,1.0,0.0,,,,,2.0,0.0,2.0,0.0,,7.0
111332,,,,,,,,,,,,,,3.0
110038,6.0,0.0,6.0,0.0,7.0,1.0,6.0,0.0,10.0,0.0,9.0,1.0,8.0,11.0
111331,,,,,1.0,0.0,1.0,0.0,,,,,,4.0
113300,,,,,,,,,,,,,,
110054,6.0,0.0,6.0,0.0,8.0,1.0,7.0,0.0,8.0,0.0,7.0,1.0,8.0,11.0
111330,,,,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,6.0
111310,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,8.0,7.0
110107,7.0,0.0,7.0,0.0,8.0,3.0,5.0,0.0,11.0,0.0,8.0,3.0,8.0,11.0
11030F,5.0,2.0,3.0,0.0,4.0,0.0,4.0,0.0,6.0,0.0,5.0,1.0,8.0,5.0
111327,1.0,0.0,1.0,0.0,,,,,3.0,0.0,3.0,0.0,8.0,5.0
111302,,,,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,4.0
110113,,,,,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,,6.0
111334,,,,,,,,,2.0,0.0,2.0,0.0,,7.0
110024,5.0,0.0,4.0,1.0,7.0,0.0,7.0,0.0,8.0,0.0,7.0,1.0,8.0,10.0
111324,1.0,0.0,1.0,0.0,,,,,3.0,0.0,3.0,0.0,,5.0
110236,2.0,0.0,2.0,0.0,,,,,4.0,0.0,4.0,0.0,,10.0
113301,,,,,,,,,,,,,,
111308,,,,,,,,,,,,,,4.0
114008,,,,,,,,,,,,,,
110089,5.0,0.0,4.0,1.0,4.0,1.0,3.0,0.0,8.0,0.0,6.0,2.0,8.0,11.0
110164,7.0,0.0,7.0,0.0,7.0,1.0,6.0,0.0,8.0,0.0,6.0,2.0,8.0,10.0
110105,5.0,0.0,5.0,0.0,7.0,2.0,5.0,0.0,8.0,0.0,6.0,2.0,8.0,10.0
110104,4.0,0.0,4.0,0.0,3.0,0.0,3.0,0.0,6.0,0.0,5.0,1.0,8.0,10.0
